#time nev avnev sigma he_nev he_avnev he_sigma
370496618.0000 16.0 18.75484 -0.492076 0.0 1.2898339 -0.596811 
371101418.0000 224.0 218.74446 0.398688 12.0 15.420545 -0.724951 
371706218.0000 218.0 221.2778 -0.175897 5.0 15.629632 -2.911523 
372311018.0000 121.0 175.86238 -4.33021 3.0 12.405993 -2.934065 
372915818.0000 121.0 167.19972 -3.70337 0.0 12.093616 -4.392795 
373520618.0000 90.0 129.59518 -3.617589 2.0 9.2550954 -2.570607 
374125418.0000 88.0 135.83041 -4.324412 1.0 9.8126058 -3.242675 
374730218.0000 103.0 173.21795 -5.716477 4.0 12.527382 -2.559399 
375335018.0000 131.0 211.31239 -5.89322 5.0 14.831828 -2.733118 
375939818.0000 161.0 267.25067 -6.975533 4.0 19.376199 -4.028625 
376544618.0000 172.0 238.28111 -4.472891 2.0 16.996042 -4.351803 
377149418.0000 118.0 194.81643 -5.887052 6.0 14.019431 -2.195611 
377754218.0000 87.0 138.2532 -4.616497 0.0 10.100148 -3.938048 
378359018.0000 124.0 152.93847 -2.363064 1.0 11.251771 -3.600045 
378963818.0000 104.0 162.2662 -4.84001 1.0 11.863245 -3.743833 
379568618.0000 136.0 199.50155 -4.720358 3.0 14.254134 -3.362174 
380173418.0000 146.0 234.95491 -6.193604 2.0 16.604705 -4.27501 
380778218.0000 150.0 254.14456 -7.030186 3.0 18.322288 -4.199474 
381383018.0000 151.0 207.99307 -4.106044 5.0 14.607838 -2.681968 
381987818.0000 111.0 172.28135 -4.939619 5.0 12.460624 -2.164826 
382592618.0000 72.0 133.58261 -5.776457 5.0 9.6392259 -1.391568 
383197418.0000 91.0 132.90255 -3.791925 7.0 9.5394382 -0.629245 
383802218.0000 102.0 153.65052 -4.380353 6.0 11.114054 -1.446294 
384407018.0000 57.0 78.258346 -2.443944 1.0 5.4942121 -1.931762 
385011818.0000 148.0 227.54818 -5.586712 4.0 16.315168 -3.419047 
385616618.0000 135.0 217.23153 -5.950471 3.0 15.308257 -3.591515 
