#time nev avnev sigma he_nev he_avnev he_sigma
340256618.0000 4109.0 4213.2002 -1.601662 1064.0 1091.7727 -0.8238 
340861418.0000 3563.0 3551.3276 0.2069367 967.0 940.22039 0.8908172 
341466218.0000 3151.0 3034.7893 2.1082286 796.0 814.58996 -0.630328 
342071018.0000 2378.0 2384.4802 -0.119104 683.0 651.55859 1.247803 
342675818.0000 2432.0 2367.4299 1.3346978 658.0 644.6286 0.5509436 
343280618.0000 2914.0 2910.5478 0.0763306 831.0 788.00415 1.5414191 
343885418.0000 3672.0 3685.5798 -0.212829 999.0 972.54632 0.8656694 
344490218.0000 4347.0 4411.8764 -0.969059 1136.0 1142.218 -0.164393 
345095018.0000 4129.0 4153.8212 -0.375149 1151.0 1085.3831 1.9920101 
345699818.0000 3473.0 3426.1606 0.8097482 902.0 914.76739 -0.400986 
346304618.0000 2559.0 2506.0737 1.0667883 666.0 680.10015 -0.516842 
346909418.0000 2078.0 2042.9306 0.7883639 606.0 564.4085 1.7572978 
347514218.0000 2210.0 2226.4702 -0.335323 581.0 603.84051 -0.908009 
348119018.0000 3294.0 3331.8554 -0.645482 916.0 888.73107 0.9322548 
348723818.0000 4267.0 4265.1123 0.0391098 1091.0 1112.6665 -0.631566 
349328618.0000 4523.0 4509.8833 0.2051443 1156.0 1165.2714 -0.252392 
349933418.0000 3904.0 3801.4243 1.6670159 1012.0 996.703 0.5043225 
350538218.0000 2848.0 2799.435 0.927787 739.0 746.39019 -0.246481 
351143018.0000 2134.0 2095.3964 0.8552406 582.0 570.05932 0.5261351 
351747818.0000 1887.0 1917.3433 -0.679513 493.0 525.34088 -1.396249 
352352618.0000 2467.0 2558.5446 -1.807459 644.0 687.84674 -1.66417 
352957418.0000 2629.0 2612.7258 0.3310739 629.0 689.31274 -2.30592 
353562218.0000 4613.0 4672.4926 -0.862408 1153.0 1205.0297 -1.490364 
354167018.0000 4545.0 4493.5522 0.7759422 1156.0 1162.1887 -0.162112 
354771818.0000 3635.0 3686.2297 -0.834722 1003.0 974.14056 0.9413166 
355376618.0000 2616.0 2656.9868 -0.784218 726.0 714.3034 0.4612798 
355981418.0000 1754.0 1761.916 -0.172826 487.0 482.2189 0.2476341 
356586218.0000 2184.0 2126.1352 1.263643 561.0 579.16918 -0.731019 
357191018.0000 3183.0 3047.7983 2.4431438 821.0 816.10784 0.1943715 
